,Unnamed: 0,Date,AveragePrice,Total Volume,c4046,c4225,c4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region,TotalValue
0,10.0,2018-01-14,0.9,950954.6,463945.73,188126.02,11227.47,287655.38,125408.69,162040.02,206.67,conventional,2018.0,WestTexNewMexico,
1,11.0,2018-01-07,0.88,880266.52,436282.38,178669.53,9467.11,255847.5,99686.92,155870.58,290.0,conventional,2018.0,WestTexNewMexico,
2,0.0,2015-12-27,1.83,989.55,8.16,88.59,0.0,892.8,892.8,0.0,0.0,organic,2015.0,Albany,
3,1.0,2015-12-20,1.89,1163.03,30.24,172.14,0.0,960.65,960.65,0.0,0.0,organic,2015.0,Albany,
4,2.0,2015-12-13,1.85,995.96,10.44,178.7,0.0,806.82,806.82,0.0,0.0,organic,2015.0,Albany,
5,3.0,2015-12-06,1.84,1158.42,90.29,104.18,0.0,963.95,948.52,15.43,0.0,organic,2015.0,Albany,
6,4.0,2015-11-29,1.94,831.69,0.0,94.73,0.0,736.96,736.96,0.0,0.0,organic,2015.0,Albany,
7,5.0,2015-11-22,1.94,858.83,13.84,84.18,0.0,760.81,755.69,5.12,0.0,organic,2015.0,Albany,
8,6.0,2015-11-15,1.89,1208.54,20.71,238.16,0.0,949.67,949.67,0.0,0.0,organic,2015.0,Albany,
9,7.0,2015-11-08,1.88,1332.27,20.08,351.4,0.0,960.79,960.79,0.0,0.0,organic,2015.0,Albany,
10,8.0,2015-11-01,1.88,1021.68,11.47,137.58,0.0,872.63,872.63,0.0,0.0,organic,2015.0,Albany,
11,9.0,2015-10-25,1.83,1161.9,49.27,148.96,0.0,963.67,963.67,0.0,0.0,organic,2015.0,Albany,
12,10.0,2015-10-18,1.97,969.29,10.31,158.07,0.0,800.91,800.91,0.0,0.0,organic,2015.0,Albany,
13,11.0,2015-10-11,1.9,1170.01,28.65,88.25,0.0,1053.11,1035.28,17.83,0.0,organic,2015.0,Albany,
14,12.0,2015-10-04,1.98,1145.88,5.74,165.26,0.0,974.88,964.68,10.2,0.0,organic,2015.0,Albany,
15,13.0,2015-09-27,1.98,814.13,13.79,140.23,0.0,660.11,660.11,0.0,0.0,organic,2015.0,Albany,
16,14.0,2015-09-20,1.98,774.2,42.63,228.13,0.0,503.44,503.44,0.0,0.0,organic,2015.0,Albany,
17,15.0,2015-09-13,1.99,902.5,13.86,105.13,0.0,783.51,783.51,0.0,0.0,organic,2015.0,Albany,
