,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
14,24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii
18,27.0,4,97.0,88,2130,14.5,70,3,datsun pl510
29,27.0,4,97.0,88,2130,14.5,71,3,datsun pl510
31,25.0,4,113.0,95,2228,14.0,71,3,toyota corona
52,31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200
53,35.0,4,72.0,69,1613,18.0,71,3,datsun 1200
56,24.0,4,113.0,95,2278,15.5,72,3,toyota corona hardtop
70,19.0,3,70.0,97,2330,13.5,72,3,mazda rx2 coupe
80,28.0,4,97.0,92,2288,17.0,72,3,datsun 510 (sw)
81,23.0,4,120.0,97,2506,14.5,72,3,toyouta corona mark ii (sw)
83,27.0,4,97.0,88,2100,16.5,72,3,toyota corolla 1600 (sw)
107,20.0,4,97.0,88,2279,19.0,73,3,toyota carina
109,22.0,4,108.0,94,2379,16.5,73,3,datsun 610
110,18.0,3,70.0,90,2124,13.5,73,3,maxda rx3
122,20.0,6,156.0,122,2807,13.5,73,3,toyota mark ii
127,31.0,4,79.0,67,1950,19.0,74,3,datsun b210
129,32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200
142,31.0,4,76.0,52,1649,16.5,74,3,toyota corona
143,32.0,4,83.0,61,2003,19.0,74,3,datsun 710
147,24.0,4,120.0,97,2489,15.0,74,3,honda civic
148,26.0,4,108.0,93,2391,15.5,74,3,subaru
165,29.0,4,97.0,75,2171,16.0,75,3,toyota corolla
169,24.0,4,134.0,96,2702,13.5,75,3,toyota corona
171,24.0,4,119.0,97,2545,17.0,75,3,datsun 710
179,33.0,4,91.0,53,1795,17.5,75,3,honda civic cvcc
196,33.0,4,91.0,53,1795,17.4,76,3,honda civic
202,32.0,4,85.0,70,1990,17.0,76,3,datsun b-210
203,28.0,4,97.0,75,2155,16.4,76,3,toyota corolla
208,19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii
214,31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc
218,33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback
233,26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback
237,30.0,4,97.0,67,1985,16.4,77,3,subaru dl
239,22.0,6,146.0,97,2815,14.5,77,3,datsun 810
241,21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4
244,32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe
245,39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx
246,36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc
265,27.5,4,134.0,95,2560,14.2,78,3,toyota corona
266,27.2,4,119.0,97,2300,14.7,78,3,datsun 510
268,21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback
271,23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx
277,29.5,4,98.0,68,2135,16.6,78,3,honda accord lx
292,34.1,4,86.0,65,1975,15.2,79,3,maxda glc deluxe
301,31.8,4,85.0,65,2020,19.2,79,3,datsun 210
308,38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel
310,37.2,4,86.0,65,2019,16.4,80,3,datsun 310
316,29.8,4,134.0,90,2711,15.5,80,3,toyota corona liftback
317,31.3,4,120.0,75,2542,17.5,80,3,mazda 626
318,37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback
319,32.2,4,108.0,75,2265,15.2,80,3,toyota corolla
320,46.6,4,86.0,65,2110,17.9,80,3,mazda glc
322,40.8,4,85.0,65,2110,19.2,80,3,datsun 210
327,44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl
328,33.8,4,97.0,67,2145,18.0,80,3,subaru dl
330,32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx
331,23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs
333,32.4,4,107.0,72,2290,17.0,80,3,honda accord
339,39.1,4,79.0,58,1755,16.9,81,3,toyota starlet
341,35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300
342,32.3,4,97.0,67,2065,17.8,81,3,subaru
343,37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg
344,37.7,4,89.0,62,2050,17.3,81,3,toyota tercel
345,34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4
350,33.7,4,107.0,75,2210,14.4,81,3,honda prelude
351,32.4,4,108.0,75,2350,16.8,81,3,toyota corolla
352,32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx
353,31.6,4,120.0,74,2635,18.3,81,3,mazda 626
356,25.4,6,168.0,116,2900,12.6,81,3,toyota cressida
357,24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima
370,37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l
371,31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom
374,36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe
375,36.0,4,107.0,75,2205,14.5,82,3,honda accord
376,34.0,4,108.0,70,2245,16.9,82,3,toyota corolla
377,38.0,4,91.0,67,1965,15.0,82,3,honda civic
378,32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto)
379,38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx
384,32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt
